Должность,Работодатель,Дата публикации,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бариста/Бармен,Семейное кафе Здрасте (ООО СКЛ),2025-10-22,95.0,120.0,,,,Нет опыта,ТК,"2/2, 3/2, 4/2, 5/2, 30/19",,"питание, бесплатное питание, форма, униформа, обучение, кофе","Приготовление Без алкогольных напитков чая, кофе, лимонадов, смузи, свежевыжатых соков. Также работа с алкоголем. - Консультирование клиентов по методам приготовления коктейлей/ кофе - Знание профессионального оборудования и его эксплуатации - Поддержание ассортимента - Соблюдение санитарных норм в процессе работы - Поддержание порядка и чистоты на рабочем месте - Проведение инвентаризации - Работа в программе - iiko",https://hh.ru/vacancy/125984636
Бариста в кофейню One Price Coffee (м. Сретенский Бульвар ),OnePrice Coffee,2025-10-21,92.4,,,,,Нет опыта,ТК,5/2,,"питание, обучение, кофе","Приготовление кофейных напитков по утвержденным рецептам Работа с кассой и участие в инвентаризациях Поддержание уютной атмосферы в кофейне, создание позитивного настроения для наших гостей Соблюдение чистоты и порядка на рабочем месте Требования к тебе: Любовь к кофе Приветливость, коммуникабельность, энтузиазм Готовность учиться новому и развиваться профессионально Пунктуальность и ответственность Присоединяйся к нам и стань частью команды, где каждая чашка кофе - это искусство и удовольствие. Мы гарантируем, что ты не только научишься готовить вкуснейший кофе, но и найдешь здесь друзей и возможность развиваться вместе с нами! :)",https://hh.ru/vacancy/126207975
Бариста,Сизонов Игорь Евгеньевич,2025-10-20,70.0,100.0,,,,От 1 года до 3 лет,ТК,5/2,,кофе,"Опыт работы в кофейне (желательно, но можем обучить). Умение готовить кофе, лимонады, бабл-ти или желание научиться. Пунктуальность и ответственность. ",https://hh.ru/vacancy/125898642
Старший бариста/Менеджер кофейни,АО ФК Консортум,2025-10-21,,,5400.0,450.0,12.0,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"питание, кофе","Организовывать работу кофейни. Контролировать остатки продукции и делать заказы. Обучать новичков, контролировать и организовывать работу сотрудников. Решать местные бытовые задачи. ",https://hh.ru/vacancy/126550502
Начинающий бариста Правда кофе,Правда Кофе (ООО Кофе Плюс),2025-10-22,65.0,89.0,4800.0,400.0,12.0,Нет опыта,ТК,"2/2, 5/2, 4/3",,"форма, обучение, кофе","Мы не просто льем воду через зерна. Мы создаем пространство, где рождаются идеи, знакомства и самый вкусный кофе в городе. ",https://hh.ru/vacancy/126463323
Бариста (Павелецкая),United Catering Group,2025-10-20,73.0,83.0,,,'8-10,Нет опыта,ТК,"5/2, 8/10",2 раза в месяц,кофе,·Работа в дружном коллективе ·Приготовление напитков ·Соблюдение стандартов ·Работа с кассой ·Вежливое обслуживание ·Прием продукции ·Снятие остатков в конце месяца,https://hh.ru/vacancy/126708867
Бариста в кофейню One Price Coffee (Мытищи),OnePrice Coffee,2025-10-21,86.2,,3360.0,280.0,12.0,Нет опыта,ТК,64/27,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126207664
Бариста в Правда кофе (м. Белорусская),Правда Кофе (ООО Кофе Плюс),2025-10-20,70.0,80.0,4080.0,340.0,12.0,Нет опыта,ТК,"2/2, 5/2",,"форма, униформа, премии, обучение, кофе",Создавать позитивную атмосферу в кофейне. - Предоставлять гостям высокий уровень сервиса и быстрое обслуживание. - Качественно готовить кофе и другие напитки по...,https://hh.ru/vacancy/125843308
Бариста / помощник по бару,Иванова Оксана Владимировна,2025-10-20,75.0,90.0,4200.0,350.0,12.0,Нет опыта,ТК,"5/2, 3/3, 2/2",Ежемесячно,"питание, бесплатное питание, премии, бонус, бонусы, скидки, кофе","Обслуживание гостей за кассой (R-keeper). Приготовление напитков по классическим и авторским рецептам. Помощь по бару и кухне. Приготовление заготовок для напитков. Выкладка витрины. Поддержание чистоты и порядка на рабочем месте Активное общение с посетителями, создание приятной атмосферы Соблюдение стандартов качества и гигиены.",https://hh.ru/vacancy/126733150
Бариста-кассир в центре Москвы,Хлеб с маслом,2025-10-21,65.3,81.5,,,,Нет опыта,ТК,"2/2, 4/2, 3/3",2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Приготовление кофейных напитков Прием заказов в формате togo; помощь и активные доп. продажи гостям при выборе напитков/ выпечки Расчет гостей, работа с кассой Оформление витрин Соблюдение стандартов компании Создание позитивной и уютной атмосферы кофейни",https://hh.ru/vacancy/125698122
Бариста в кофейню (м. Технопарк),rockets.coffee,2025-10-22,80.0,,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, обучение, кофе","Консультировать гостей в выборе кофейного зерна или другой продукции. Вакансия подходит для <highlighttext>бариста</highlighttext>, <highlighttext>бариста</highlighttext> в сеть кофеен, сотрудник бара, сотрудник...",https://hh.ru/vacancy/126821739
Бариста (БЦ Comcity),MIXIT,2025-10-22,110.0,,,,,От 1 года до 3 лет,ТК,5/2,Ежемесячно,"ДМС, премии, скидки, обучение","Консультировать клиентов по продукции MIXIT Поддерживать идеальную выкладку товара на полках Приготовление напитков на баре Работа на кассе Что для нас важно: Желание развиваться в бьюти сфере; Высокие коммуникативные навыки, открытость . Опыт работы бариста.",https://hh.ru/vacancy/126808215
Бариста в кофейню,КОФЕФЕСТ,2025-10-22,80.0,,,,,Нет опыта,ТК,5/2,,"питание, бесплатное питание, форма, униформа, бонус, бонусы, подарки, скидки, обучение, кофе",готовить кофе и напитки. — радовать гостей и создавать уют. — работать с выпечкой и кулинарией.,https://hh.ru/vacancy/126447070
"Бариста (м. Домодедовская, Ореховый бульвар, 14к1А)",ВкусВилл,2025-10-20,95.0,105.0,,,,Нет опыта,ТК,4/2,,"премии, бонус, обучение, кофе","Приготовление и подача кофе, чая, соков по рецептуре кафе. Консультирование покупателей, работа на кассе. Работа с ассортиментом, проведение инвентаризации. ",https://hh.ru/vacancy/126266664
Бариста,Эй Би Си Кофе,2025-10-20,80.0,120.0,4560.0,380.0,'8-12,От 1 года до 3 лет,ТК,"5/2, 4/3, 8/12",,"питание, форма, униформа, кофе","Работать точно и чисто — с напитками, пространством, кассой и оборудованием. ・Готовить напитки по рецептам, знать меню, предлагать уместно и по...",https://hh.ru/vacancy/125842248
Бариста в кофейню Дринкит (м. Москва-сити),Дринкит - сеть кофеен,2025-10-20,50.0,70.0,3300.0,275.0,'5-8,Нет опыта,ТК,5/8,,кофе,"Прокачаем твою кофейную экспертизу - научим дегустировать черный кофе, разбираться в оттенках вкуса, настраивать кофейное оборудование, варить альтернативу и создавать латте...",https://hh.ru/vacancy/124741422
Бариста в кофейню Дринкит (м.Яхромская),Дринкит - сеть кофеен,2025-10-21,53.0,63.0,4320.0,360.0,12.0,Нет опыта,ТК,5/2,Еженедельно,кофе,"Прокачаем твою кофейную экспертизу - научим дегустировать черный кофе, разбираться в оттенках вкуса, настраивать кофейное оборудование, варить альтернативу и создавать латте...",https://hh.ru/vacancy/126796477
Бариста,BAGEATTERIA,2025-10-21,88.0,88.0,4800.0,400.0,12.0,От 1 года до 3 лет,ТК,"5/2, 3/4",,"питание, бесплатное питание, премии, бонус, бонусы, подарки, обучение, кофе",Работа с лучшими зернами и техникой.,https://hh.ru/vacancy/126437068
Бариста Surf Coffee x Arma (м. Курская),Surf Coffee,2025-10-19,50.0,75.0,,,,Нет опыта,ТК,6/1,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/126030263
Бариста в кофейню Дринкит (м. Павелецкая),Дринкит - сеть кофеен,2025-10-20,53.0,63.0,4320.0,360.0,12.0,Нет опыта,ТК,5/2,Еженедельно,кофе,"Прокачаем твою кофейную экспертизу - научим дегустировать черный кофе, разбираться в оттенках вкуса, настраивать кофейное оборудование, варить альтернативу и создавать латте...",https://hh.ru/vacancy/125834256
Бариста в кофейню,Третьякова Наталья Германовна,2025-10-20,65.0,80.0,4560.0,380.0,12.0,Нет опыта,ТК,"2/2, 3/3",,кофе,"приготовление кофейных напитков, выкладка витрины, постоянное поддержание чистоты и порядка на рабочем месте, работа за кассой, комфортное общение с гостями без скриптов и доп. продаж М. Царицыно, Кавказский бульвар 17(РЦ Место Встречи &quot;Эльбрус&quot;)",https://hh.ru/vacancy/126039451
"Бариста в сеть кафе ""Кулинарная лавка Братьев Караваевых""",Кулинарная лавка братьев Караваевых,2025-10-20,,120.0,,,,Нет опыта,ТК,6/1,2 раза в месяц,"питание, форма, обучение, кофе",Консультируют покупателей по ассортименту напитков и десертов. Информируют гостей о действующей системе лояльности. Производят расчëт гостей на кассе. ,https://hh.ru/vacancy/125662636
Бариста-кассир в ресторан Кофемания BEZ TARELOK,Кофемания,2025-10-21,,93.0,,,,Нет опыта,ТК,8/12,,"питание, форма, бонус, скидки, обучение, кофе","Консультировать гостей по текущему ассортименту кафе. Поддерживать ассортимента витрины кафе. Готовить безалкогольные холодные, горячие и кофейные напитки, согласно рецептуре. ",https://hh.ru/vacancy/126793021
Бариста,Лаборатория Еды,2025-10-22,72.0,110.0,4800.0,400.0,12.0,Нет опыта,ТК,"5/2, 3/3, 2/2, 10/15",,"обучение, кофе","Встречать гостей так, чтобы у них сразу поднималось настроение (консультировать, шутить, советовать идеальный напиток). Виртуозно готовить кофе и наши фирменные напитки — чтобы после первого глотка глаза закрывались от счастья. Следить, чтобы витрина была идеальной, выкладка вызывала желание сфоткать и выложить в сторис. Открывать и закрывать смену, как настоящий хранитель кофейных ключей. Наша фишка: Проводим обучение, тимбилдинги и каппинги (будем прокачивать твои скиллы вместе). Работаем только на зерне 84+, сами варим солёную карамель. Бесплатная еда и напитки. Мы ищем тебя, если ты: Умеешь создавать в чашке не просто кофе, а базовый латте-арт (сердечко, тюльпан — то, что радует глаз). Знаешь, как настроить помол и подружиться с кофемашиной и не корчишь лицо, когда гость говорит « экспрессо ». Легко находишь общий язык с гостями, дружелюбен и не теряешься в час-пик. Будет огромным плюсом, если ты знаком с iiko или уже работал в HoReCa (администратором/менеджером)",https://hh.ru/vacancy/126004803
Бариста в ТРЦ на островок,Старков Вячеслав Евгеньевич,2025-10-20,80.0,140.0,,,,От 1 года до 3 лет,ТК,6/1,,,"Приготовление напитков для посетителей торгового центра. Кассовая дисциплина. Соблюдение правил ТРЦ и выполнение задач руководителя. Общение с клиентами, инвентаризация ТМЦ.",https://hh.ru/vacancy/126653010
Бариста в кофейню Иль Патио,Росинтер Ресторантс,2025-10-22,70.0,80.0,,,,Нет опыта,ТК,5/2,,"питание, бесплатное питание, обучение, кофе",Поддержание порядка в кофейне; Создание благоприятной атмосферы; Приготовление кофейных напитков;,https://hh.ru/vacancy/126831401
Бариста в HQ! coffee (м. Пятницкое шоссе),HQ!,2025-10-16,98.0,155.0,3840.0,320.0,12.0,Нет опыта,ТК,6/1,2 раза в месяц,"скидки, кофе",Работа с классным зерном собственной обжарки.,https://hh.ru/vacancy/126601616
Бариста в specialty-кофейню,Bloom-n-brew,2025-10-21,0.4,0.5,4440.0,370.0,12.0,От 1 года до 3 лет,ТК,64/27,,"питание, форма, обучение","Обслуживать гостей по стандартам заведения Готовить напитки и заготовки из натуральных продуктов Поддерживать чистоту и порядок на рабочем месте Мы предлагаем : Ставка от 370 руб/час до 460 руб/час, формируется в результате выполнения KPI Выплаты три раза в месяц Официальное оформление, оплачиваемый отпуск и больничный Гибкий график, смены от 5 до 10 часов Индексации зарплаты (ежегодная и индивидуальная) Оплачиваемое обучение Бесплатные напитки, питание и форма Поддержка корпоративного психолога Работа с качественным продуктом и современным оборудованием Мы ожидаем : Опыт работы на позиции бариста в спешелти сегменте Навыки базового латте-арта Опыт работы с альтернативными методами заваривания Коммуникабельность, желание учиться и развиваться",https://hh.ru/vacancy/125722156
Бармен/бариста в кафе Pims,Касаткина Елена Константиновна,2025-10-21,60.0,110.0,,,'6-12,Нет опыта,ТК,6/12,2 раза в месяц,"форма, униформа, премии","Качественное и быстрое приготовление напитков; Поддерживать порядок и чистоту на рабочем месте; Предоставление фирменного сервиса нашим гостям; Общение с гостями, работа за кассой; Поддерживать дружелюбную атмосферу с гостями и внутри коллектива; Соблюдение стандартов обслуживания и сервиса; Требования : Ориентация на клиента, умение работать с людьми; Коммуникабельность, вежливость; Способность создавать вокруг себя гостеприимную атмосферу; Желание работать в активном режиме; Опрятный внешней вид; Готовность работать в команде; Наличие мед. книжки (поможем её оформить при отсутствии); Почему стоит выбрать именно нас: Готовы рассмотреть кандидатов без опыта, оперативно обучаем (если ты замотивирован и тебе знакомы такие слова как инициативность и вовлеченность в процесс); Стабильная заработная плата 2 раза в месяц (своевременные выплаты без задержек); Оплачиваемый период стажировки; Премии за добросовестную работу; Оплачиваемые переработки (вечернее закрытие точки, ген. уборка и тд); Гибкий график; Возможность совмещать работу с учебой (смены по 6-12 часов); Стильная униформа за счет компании (черная футболка и кепка); Возможность карьерного роста; Дружный молодой коллектив; Лояльное руководство (всегда выслушаем, поможем, войдём в положение). Близость к метро (2 минуты пешком от м. Мякинино) Будем рады видеть тебя в нашей команде! Ключевые навыки Грамотная речь Работа в команде Креативность Грамотность Дружелюбность Чистоплотность Позитивный настрой Умение работать в команде Навыки продаж Способность быстро обучаться Навыки улаживания конфликтов",https://hh.ru/vacancy/126781405
Бариста в кофейню One Price Coffee (м. Парк Культуры ),OnePrice Coffee,2025-10-21,86.2,,3360.0,280.0,12.0,Нет опыта,ТК,64/27,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126206820
Бариста-кассир (м. Медведково),Хлеб с маслом,2025-10-19,76.8,82.3,,,,Нет опыта,ТК,"2/2, 5/2",2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Приготовление кофейных напитков Прием заказов в формате togo; помощь и активные доп. продажи гостям при выборе напитков/ выпечки Расчет гостей, работа с кассой Оформление витрин Соблюдение чистоты и порядка на точке Соблюдение стандартов компании Создание позитивной и уютной атмосферы кофейни",https://hh.ru/vacancy/126484124
Мобильный бариста,FreshCafe,2025-10-21,84.0,,,,8.0,Нет опыта,ТК,5/2,,"питание, форма, униформа, бонус, бонусы, подарки, обучение, проезд, кофе",Приготовление напитков • Работа с кассовой программой IIKO • Общение с гостями • Соблюдение стандартов санитарии на рабочем месте Мы оцениваем в кандидатах: • Опыт работы бариста от 6 месяцев • Организованность • Умение работать в команде,https://hh.ru/vacancy/124729320
Бариста ONE PRICE COFFEE (м. Серпуховская),Ван Груп Компани,2025-10-21,,60.0,,,,Нет опыта,ТК,"2/2, 5/2",,"питание, форма, премии, бонус, бонусы, обучение, проезд, оплата проезда, кофе","Готовить вкусный кофе, создавать отличное настроение гостям, работать с кассой и поддерживать чистоту и уют. Ждем тебя в команду, если ты: Коммуникабельный, энергичный, позитивный, опрятный; Хочешь развивать кофейную экспертизу; Стремишься получить практический опыт в кофейной сфере или прокачать его и вывести на новый уровень; Уже работал в кофейне или пока еще новичок, желающий научиться искусству приготовления кофе :) Уже закончил учебное заведение или точно знаешь, как совмещать учебу и работу! Присоединяйся!",https://hh.ru/vacancy/126770645
Бариста,Кофейня Formula Espresso,2025-10-17,80.0,80.0,,,,Нет опыта,ТК,"2/2, 5/2",,"форма, кофе","приготовление напитков на рожковой кофемашине приготовление сезонных напитков, молочных коктейлей, лимонадов, смузи и т.д. презентация и продажа десертов поддержание рабочего места в чистоте",https://hh.ru/vacancy/126644251
